ID,대출등급
TEST_00000,F
TEST_00001,B
TEST_00002,F
TEST_00003,F
TEST_00004,F
TEST_00005,F
TEST_00006,F
TEST_00007,B
TEST_00008,F
TEST_00009,E
TEST_00010,F
TEST_00011,E
TEST_00012,F
TEST_00013,F
TEST_00014,B
TEST_00015,F
TEST_00016,F
TEST_00017,F
TEST_00018,F
TEST_00019,C
TEST_00020,F
TEST_00021,F
TEST_00022,F
TEST_00023,E
TEST_00024,F
TEST_00025,F
TEST_00026,F
TEST_00027,F
TEST_00028,F
TEST_00029,F
TEST_00030,F
TEST_00031,F
TEST_00032,E
TEST_00033,E
TEST_00034,F
TEST_00035,F
TEST_00036,F
TEST_00037,F
TEST_00038,F
TEST_00039,F
TEST_00040,F
TEST_00041,F
TEST_00042,F
TEST_00043,F
TEST_00044,C
TEST_00045,F
TEST_00046,F
TEST_00047,F
TEST_00048,F
TEST_00049,F
TEST_00050,F
TEST_00051,F
TEST_00052,F
TEST_00053,C
TEST_00054,F
TEST_00055,F
TEST_00056,F
TEST_00057,F
TEST_00058,F
TEST_00059,C
TEST_00060,F
TEST_00061,F
TEST_00062,F
TEST_00063,F
TEST_00064,C
TEST_00065,F
TEST_00066,F
TEST_00067,F
TEST_00068,F
TEST_00069,F
TEST_00070,F
TEST_00071,F
TEST_00072,F
TEST_00073,F
TEST_00074,E
TEST_00075,F
TEST_00076,E
TEST_00077,C
TEST_00078,F
TEST_00079,C
TEST_00080,F
TEST_00081,F
TEST_00082,F
TEST_00083,F
TEST_00084,F
TEST_00085,F
TEST_00086,F
TEST_00087,F
TEST_00088,F
TEST_00089,F
TEST_00090,F
TEST_00091,F
TEST_00092,F
TEST_00093,F
TEST_00094,F
TEST_00095,F
TEST_00096,F
TEST_00097,F
TEST_00098,F
TEST_00099,F
TEST_00100,E
TEST_00101,F
TEST_00102,F
TEST_00103,F
TEST_00104,E
TEST_00105,F
TEST_00106,F
TEST_00107,F
TEST_00108,F
TEST_00109,F
TEST_00110,F
TEST_00111,F
TEST_00112,B
TEST_00113,F
TEST_00114,F
TEST_00115,F
TEST_00116,F
TEST_00117,F
TEST_00118,F
TEST_00119,F
TEST_00120,F
TEST_00121,F
TEST_00122,F
TEST_00123,F
TEST_00124,F
TEST_00125,F
TEST_00126,F
TEST_00127,F
TEST_00128,F
TEST_00129,E
TEST_00130,F
TEST_00131,F
TEST_00132,F
TEST_00133,E
TEST_00134,F
TEST_00135,F
TEST_00136,F
TEST_00137,F
TEST_00138,F
TEST_00139,F
TEST_00140,D
TEST_00141,D
TEST_00142,F
TEST_00143,F
TEST_00144,F
TEST_00145,F
TEST_00146,F
TEST_00147,D
TEST_00148,E
TEST_00149,F
TEST_00150,F
TEST_00151,F
TEST_00152,F
TEST_00153,F
TEST_00154,C
TEST_00155,F
TEST_00156,F
TEST_00157,F
TEST_00158,F
TEST_00159,F
TEST_00160,F
TEST_00161,F
TEST_00162,F
TEST_00163,F
TEST_00164,F
TEST_00165,F
TEST_00166,F
TEST_00167,F
TEST_00168,F
TEST_00169,F
TEST_00170,F
TEST_00171,F
TEST_00172,F
TEST_00173,F
TEST_00174,D
TEST_00175,F
TEST_00176,F
TEST_00177,B
TEST_00178,F
TEST_00179,F
TEST_00180,F
TEST_00181,F
TEST_00182,F
TEST_00183,F
TEST_00184,F
TEST_00185,D
TEST_00186,F
TEST_00187,F
TEST_00188,F
TEST_00189,F
TEST_00190,F
TEST_00191,F
TEST_00192,F
TEST_00193,F
TEST_00194,F
TEST_00195,F
TEST_00196,F
TEST_00197,B
TEST_00198,F
TEST_00199,F
TEST_00200,F
TEST_00201,F
TEST_00202,F
TEST_00203,F
TEST_00204,F
TEST_00205,F
TEST_00206,F
TEST_00207,F
TEST_00208,F
TEST_00209,F
TEST_00210,F
TEST_00211,C
TEST_00212,F
TEST_00213,F
TEST_00214,F
TEST_00215,F
TEST_00216,F
TEST_00217,F
TEST_00218,F
TEST_00219,F
TEST_00220,F
TEST_00221,E
TEST_00222,F
TEST_00223,F
TEST_00224,E
TEST_00225,F
TEST_00226,F
TEST_00227,F
TEST_00228,F
TEST_00229,F
TEST_00230,F
TEST_00231,F
TEST_00232,F
TEST_00233,C
TEST_00234,F
TEST_00235,F
TEST_00236,F
TEST_00237,F
TEST_00238,F
TEST_00239,C
TEST_00240,F
TEST_00241,F
TEST_00242,F
TEST_00243,F
TEST_00244,F
TEST_00245,F
TEST_00246,F
TEST_00247,E
TEST_00248,F
TEST_00249,F
TEST_00250,F
TEST_00251,F
TEST_00252,F
TEST_00253,E
TEST_00254,F
TEST_00255,F
TEST_00256,F
TEST_00257,F
TEST_00258,F
TEST_00259,F
TEST_00260,E
TEST_00261,F
TEST_00262,F
TEST_00263,F
TEST_00264,F
TEST_00265,F
TEST_00266,F
TEST_00267,F
TEST_00268,F
TEST_00269,F
TEST_00270,F
TEST_00271,F
TEST_00272,F
TEST_00273,F
TEST_00274,F
TEST_00275,F
TEST_00276,E
TEST_00277,F
TEST_00278,E
TEST_00279,F
TEST_00280,F
TEST_00281,E
TEST_00282,F
TEST_00283,E
TEST_00284,F
TEST_00285,F
TEST_00286,F
TEST_00287,F
TEST_00288,F
TEST_00289,D
TEST_00290,F
TEST_00291,F
TEST_00292,F
TEST_00293,F
TEST_00294,F
TEST_00295,F
TEST_00296,F
TEST_00297,F
TEST_00298,F
TEST_00299,F
TEST_00300,F
TEST_00301,F
TEST_00302,C
TEST_00303,F
TEST_00304,F
TEST_00305,F
TEST_00306,F
TEST_00307,F
TEST_00308,F
TEST_00309,F
TEST_00310,F
TEST_00311,F
TEST_00312,F
TEST_00313,F
TEST_00314,F
TEST_00315,B
TEST_00316,F
TEST_00317,F
TEST_00318,F
TEST_00319,F
TEST_00320,F
TEST_00321,F
TEST_00322,F
TEST_00323,F
TEST_00324,F
TEST_00325,F
TEST_00326,F
TEST_00327,F
TEST_00328,F
TEST_00329,F
TEST_00330,F
TEST_00331,E
TEST_00332,F
TEST_00333,F
TEST_00334,C
TEST_00335,E
TEST_00336,B
TEST_00337,F
TEST_00338,F
TEST_00339,F
TEST_00340,F
TEST_00341,F
TEST_00342,E
TEST_00343,F
TEST_00344,F
TEST_00345,F
TEST_00346,F
TEST_00347,F
TEST_00348,F
TEST_00349,F
TEST_00350,C
TEST_00351,F
TEST_00352,F
TEST_00353,F
TEST_00354,F
TEST_00355,F
TEST_00356,F
TEST_00357,F
TEST_00358,F
TEST_00359,B
TEST_00360,F
TEST_00361,D
TEST_00362,F
TEST_00363,F
TEST_00364,F
TEST_00365,F
TEST_00366,E
TEST_00367,F
TEST_00368,F
TEST_00369,F
TEST_00370,F
TEST_00371,F
TEST_00372,F
TEST_00373,F
TEST_00374,F
TEST_00375,D
TEST_00376,E
TEST_00377,F
TEST_00378,F
TEST_00379,E
TEST_00380,F
TEST_00381,E
TEST_00382,F
TEST_00383,E
TEST_00384,F
TEST_00385,E
TEST_00386,F
TEST_00387,F
TEST_00388,E
TEST_00389,F
TEST_00390,F
TEST_00391,F
TEST_00392,E
TEST_00393,F
TEST_00394,F
TEST_00395,F
TEST_00396,F
TEST_00397,F
TEST_00398,F
TEST_00399,B
TEST_00400,D
TEST_00401,F
TEST_00402,F
TEST_00403,E
TEST_00404,F
TEST_00405,F
TEST_00406,F
TEST_00407,F
TEST_00408,E
TEST_00409,F
TEST_00410,F
TEST_00411,F
TEST_00412,F
TEST_00413,F
TEST_00414,F
TEST_00415,C
TEST_00416,F
TEST_00417,F
TEST_00418,F
TEST_00419,F
TEST_00420,C
TEST_00421,F
TEST_00422,F
TEST_00423,F
TEST_00424,C
TEST_00425,F
TEST_00426,F
TEST_00427,F
TEST_00428,F
TEST_00429,F
TEST_00430,E
TEST_00431,B
TEST_00432,F
TEST_00433,F
TEST_00434,F
TEST_00435,F
TEST_00436,F
TEST_00437,F
TEST_00438,F
TEST_00439,F
TEST_00440,F
TEST_00441,F
TEST_00442,F
TEST_00443,F
TEST_00444,E
TEST_00445,F
TEST_00446,F
TEST_00447,F
TEST_00448,F
TEST_00449,F
TEST_00450,F
TEST_00451,F
TEST_00452,F
TEST_00453,F
TEST_00454,F
TEST_00455,F
TEST_00456,F
TEST_00457,F
TEST_00458,F
TEST_00459,F
TEST_00460,F
TEST_00461,F
TEST_00462,F
TEST_00463,F
TEST_00464,E
TEST_00465,F
TEST_00466,F
TEST_00467,D
TEST_00468,F
TEST_00469,F
TEST_00470,F
TEST_00471,F
TEST_00472,F
TEST_00473,F
TEST_00474,F
TEST_00475,E
TEST_00476,F
TEST_00477,F
TEST_00478,B
TEST_00479,F
TEST_00480,F
TEST_00481,F
TEST_00482,F
TEST_00483,F
TEST_00484,F
TEST_00485,F
TEST_00486,B
TEST_00487,F
TEST_00488,F
TEST_00489,F
TEST_00490,F
TEST_00491,F
TEST_00492,F
TEST_00493,F
TEST_00494,F
TEST_00495,F
TEST_00496,F
TEST_00497,F
TEST_00498,F
TEST_00499,F
TEST_00500,F
TEST_00501,F
TEST_00502,F
TEST_00503,F
TEST_00504,F
TEST_00505,F
TEST_00506,F
TEST_00507,F
TEST_00508,F
TEST_00509,F
TEST_00510,F
TEST_00511,F
TEST_00512,F
TEST_00513,F
TEST_00514,F
TEST_00515,F
TEST_00516,F
TEST_00517,F
TEST_00518,F
TEST_00519,F
TEST_00520,F
TEST_00521,F
TEST_00522,F
TEST_00523,F
TEST_00524,F
TEST_00525,F
TEST_00526,E
TEST_00527,F
TEST_00528,F
TEST_00529,F
TEST_00530,F
TEST_00531,F
TEST_00532,C
TEST_00533,F
TEST_00534,F
TEST_00535,E
TEST_00536,F
TEST_00537,F
TEST_00538,F
TEST_00539,F
TEST_00540,F
TEST_00541,F
TEST_00542,F
TEST_00543,F
TEST_00544,F
TEST_00545,F
TEST_00546,F
TEST_00547,F
TEST_00548,F
TEST_00549,F
TEST_00550,F
TEST_00551,F
TEST_00552,F
TEST_00553,F
TEST_00554,F
TEST_00555,F
TEST_00556,F
TEST_00557,F
TEST_00558,F
TEST_00559,F
TEST_00560,F
TEST_00561,F
TEST_00562,F
TEST_00563,F
TEST_00564,F
TEST_00565,F
TEST_00566,F
TEST_00567,F
TEST_00568,E
TEST_00569,F
TEST_00570,F
TEST_00571,F
TEST_00572,C
TEST_00573,F
TEST_00574,F
TEST_00575,F
TEST_00576,F
TEST_00577,F
TEST_00578,E
TEST_00579,F
TEST_00580,F
TEST_00581,F
TEST_00582,F
TEST_00583,F
TEST_00584,F
TEST_00585,F
TEST_00586,F
TEST_00587,E
TEST_00588,B
TEST_00589,F
TEST_00590,F
TEST_00591,F
TEST_00592,D
TEST_00593,F
TEST_00594,F
TEST_00595,F
TEST_00596,B
TEST_00597,F
TEST_00598,F
TEST_00599,F
TEST_00600,F
TEST_00601,F
TEST_00602,F
TEST_00603,F
TEST_00604,F
TEST_00605,F
TEST_00606,B
TEST_00607,F
TEST_00608,F
TEST_00609,F
TEST_00610,F
TEST_00611,F
TEST_00612,E
TEST_00613,F
TEST_00614,F
TEST_00615,F
TEST_00616,E
TEST_00617,F
TEST_00618,F
TEST_00619,F
TEST_00620,F
TEST_00621,E
TEST_00622,F
TEST_00623,F
TEST_00624,F
